site_code,start_date,end_date,soil.moisture_m3m3
bldr.us,3/1/2011,9/28/2011,0.274204426
bnch.us,4/1/2011,9/28/2011,0.29068436
bogong.au,10/1/2011,2/28/2012,0.369788649
burrawan.au,10/1/2011,6/28/2012,0.230862851
cbgb.us,5/1/2012,11/28/2012,0.250038973
comp.pt,10/1/2014,6/28/2015,0.174634112
cowi.ca,4/1/2011,8/28/2011,0.228326243
elliot.us,11/1/2011,5/28/2012,0.173740241
frue.ch,4/1/2011,10/28/2011,0.383573511
gilb.za,10/1/2012,2/28/2013,0.445992288
hopl.us,11/1/2011,5/28/2012,0.315711014
jena.de,3/1/2011,11/28/2011,0.30299995
kiny.au,5/1/2011,11/28/2011,0.360966539
konz.us,5/1/2011,10/28/2011,0.204600963
lancaster.uk,3/1/2011,9/28/2011,0.360049496
look.us,3/1/2011,9/28/2011,0.307599208
mcla.us,11/1/2011,5/28/2012,0.288298283
mtca.au,8/1/2011,11/28/2011,0.165094253
sage.us,4/1/2011,8/28/2011,0.405550046
saline.us,5/1/2011,10/28/2011,0.204391087
sgs.us,4/1/2011,9/28/2011,0.212377619
shps.us,4/1/2011,10/28/2011,0.16780361
sier.us,11/1/2011,5/28/2012,0.29291978
smith.us,10/1/2011,7/28/2012,0.37428432
summ.za,9/1/2012,2/28/2013,0.562862605
unc.us,4/1/2011,10/28/2011,0.338001848
valm.ch,6/1/2011,9/28/2011,0.442794468
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
